78
102
0 1 2
1 2 2
2 3 2
3 4 2
4 5 2
5 6 2
6 7 2
7 8 2
8 9 3
9 10 2
10 11 2
11 12 3
12 13 2
13 14 2
14 15 2
15 16 3
16 17 2
17 18 2
18 19 3
19 20 1
20 21 2
21 22 2
22 23 2
23 24 2
25 26 1
26 27 2
27 28 3
28 29 3
29 30 3
30 31 2
31 32 3
32 33 2
33 34 3
34 35 2
35 36 2
36 37 3
37 38 2
38 39 2
39 40 2
40 41 4
41 42 4
42 43 1
43 44 2
44 45 3
45 46 2
46 47 3
47 48 2
48 49 2
49 50 2
51 52 4
52 53 3
53 54 3
54 55 4
55 56 2
56 57 2
57 58 3
58 59 3
59 60 2
60 61 2
61 62 2
62 63 2
63 64 2
64 65 1
65 66 2
66 67 2
67 68 2
68 69 6
70 71 6
71 72 9
72 73 11
73 74 6
74 75 15
75 76 9
76 77 7
0 71 1.1
63 3 1.1
62 4 1.1
61 5 1.1
60 6 1.1
7 32 1.1
7 59 1.1
32 59 1.1
8 33 1.1
8 58 1.1
58 33 1.1
9 34 1.1
34 57 1.1
57 9 1.1
10 35 1.1
35 56 1.1
56 10 1.1
11 36 1.1
36 55 1.1
55 11 1.1
12 37 1.1
13 38 1.1
14 39 1.1
15 40 1.1
16 41 1.1
64 70 1.1
41 72 1.1
16 72 1.1
